origin,target,ori_en,tar_en,ori_lat,ori_long,tar_lat,tar_long,value
義大利,希臘,Italy,Greece,41.87194,12.56738,39.07421,21.824312,76
義大利,法國,Italy,France,41.87194,12.56738,46.22764,2.213749,64
義大利,西班牙,Italy,Spain,41.87194,12.56738,40.46367,-3.74922,44
義大利,德國,Italy,Germany,41.87194,12.56738,51.16569,10.451526,35
義大利,羅馬尼亞,Italy,Romania,41.87194,12.56738,45.94316,24.96676,23
法國,突尼西亞,France,Tunisia,46.22764,2.213749,33.88692,9.537499,123
法國,安哥拉,France,Angola,46.22764,2.213749,-11.20269,17.873887,119
法國,摩洛哥,France,Morocco,46.22764,2.213749,31.7917,-7.09262,106
法國,西班牙,France,Spain,46.22764,2.213749,40.46367,-3.74922,87
法國,義大利,France,Italy,46.22764,2.213749,41.87194,12.56738,62
德國,西班牙,Germany,Spain,51.16569,10.451526,40.46367,-3.74922,261
德國,土耳其,Germany,Turkey,51.16569,10.451526,38.96375,35.243322,197
德國,希臘,Germany,Greece,51.16569,10.451526,39.07421,21.824312,99
德國,義大利,Germany,Italy,51.16569,10.451526,41.87194,12.56738,35
德國,葡萄牙,Germany,Portugal,51.16569,10.451526,39.39987,-8.224454,31
南韓,中國,South Korea,China,35.90776,127.766922,35.86166,104.195397,102
南韓,日本,South Korea,Japan,35.90776,127.766922,36.20482,138.252924,73
南韓,香港,South Korea,Hong Kong,35.90776,127.766922,22.3193,114.169361,38
南韓,菲律賓,South Korea,Philippines,35.90776,127.766922,12.87972,121.774017,38
南韓,台灣,South Korea,Taiwan,35.90776,127.766922,23.69781,120.960515,32
伊朗,阿聯,Iran,United Arab Emirates,32.42791,53.688046,23.42408,53.847818,32
伊朗,伊拉克,Iran,Iraq,32.42791,53.688046,33.22319,43.679291,31
伊朗,土耳其,Iran,Turkey,32.42791,53.688046,38.96375,35.243322,24
伊朗,科威特,Iran,Kuwait,32.42791,53.688046,29.31166,47.481766,15
伊朗,阿富汗,Iran,Afghanistan,32.42791,53.688046,33.93911,67.709953,7
